fazenda;fb.total;fb_total_predito;coeficiente_calibracao
1000;5700;5700.25;0.9999561422744616
1001;5590;5591.1;0.9998032587505141
1002;5540;5540.05;0.9999909748106967
1003;5840;5839.75;1.0000428100518002
1004;5900;5911.0;0.9981390627643377
1005;5670;5669.65;1.0000617322056917
1006;5860;5858.5;1.0002560382350432
1007;6070;6069.55;1.0000741405870286
1008;5370;5365.75;1.0007920607557192
1009;5820;5820.15;0.9999742274683643
101;6250;6149.85;1.0162849500394318
1010;5570;5569.55;1.0000807964736829
1011;5450;5451.1;0.9997982058667058
1012;5370;5369.75;1.0000465571022858
1013;5560;5559.8;1.000035972516997
1014;6010;6022.85;0.9978664585702781
1015;5660;5660.7;0.9998763403819316
1016;5300;5296.25;1.000708048147274
1017;5470;5469.2;1.0001462736780518
1018;5810;5808.1;1.0003271293538334
1019;5710;5710.05;0.9999912435092512
102;5790;5789.85;1.0000259074069275
1020;5490;5489.0;1.000182182546912
1021;5400;5400.95;0.9998241050185616
1022;5850;5849.7;1.0000512846812657
1023;5260;5256.05;1.0007515149209005
1024;5910;5916.75;0.9988591709975916
1025;5750;5749.9;1.0000173916068107
1026;5520;5520.4;0.9999275414825013
1027;4950;4946.25;1.0007581501137226
1028;5170;5185.7;0.9969724434502575
1029;5330;5323.55;1.0012115975242084
103;6240;6179.65;1.0097659252546667
1030;5380;5380.25;0.999953533757725
1031;5610;5611.3;0.999768324630656
1032;5920;5927.85;0.9986757424698668
1033;5950;5949.75;1.000042018572209
1034;5640;5640.25;0.9999556757235938
1035;6030;6054.35;0.9959780983920652
1036;5760;5760.2;0.9999652789833686
1037;5630;5630.55;0.9999023186012024
1038;5930;5929.85;1.0000252957494709
1039;5680;5681.15;0.9997975761949606
104;5530;5530.6;0.9998915126749357
1040;6200;6196.75;1.000524468471376
1041;5870;5868.95;1.00017890764106
1042;5810;5809.5;1.0000860659264996
1043;6270;6290.4;0.9967569629912247
1044;5890;5890.8;0.999864195015957
1045;5780;5777.15;1.0004933228321924
1046;5910;5910.35;0.9999407818487906
1047;5960;5973.4;0.9977567214651623
1048;5560;5559.75;1.0000449660506319
1049;5830;5828.05;1.000334588756102
105;5470;5467.1;1.0005304457573485
1050;5530;5531.35;0.9997559366158352
1051;5810;5878.8;0.9882969313465333
1052;5660;5660.35;0.9999381663678041
1053;5800;5800.5;0.9999138005344367
1054;5760;5759.75;1.0000434046616606
1055;5520;5536.75;0.9969747595611144
1056;5570;5570.4;0.9999281918713199
1057;5470;5469.15;1.0001554172037703
1058;5320;5325.25;0.9990141307919816
1059;5900;5897.9;1.0003560589362317
1060;5860;5859.9;1.0000170651376303
1061;5730;5732.15;0.9996249225857663
1062;5490;5486.5;1.000637929463228
1063;5510;5506.6;1.0006174408891149
1064;5600;5599.85;1.0000267864317793
1065;5370;5356.6;1.0025015868274652
1066;5850;5849.35;1.0001111234581619
1067;5580;5579.4;1.0001075384449942
1068;5570;5569.35;1.0001167102085522
1069;5740;5740.4;0.9999303184447077
107;5970;5971.65;0.9997236944563062
1073;6080;6016.3;1.0105879028638864
1074;6110;6117.2;0.9988229909108742
1075;5690;5691.65;0.999710101640122
1076;5660;5659.25;1.0001325263948404
1077;5330;5326.05;1.0007416377991194
1078;4890;4886.0;1.0008186655751126
1079;5080;5061.5;1.0036550429714513
108;5660;5659.1;1.0001590358890988
1080;5140;5140.35;0.9999319112511793
1081;5310;5310.7;0.9998681906340031
1082;5350;5341.85;1.0015256886659116
1083;5840;5838.4;1.000274047684297
1084;5800;5800.2;0.9999655184303989
1085;5650;5650.2;0.9999646030229019
1086;5790;5796.35;0.998904482993608
1087;5760;5759.8;1.0000347234278968
1088;5180;5188.15;0.9984291124967475
1089;5410;5410.25;0.9999537914144448
1090;6040;6040.05;0.9999917219228317
1091;5820;5820.05;0.9999914090085137
1092;5700;5700.95;0.9998333611064822
1093;5800;5800.4;0.9999310392386732
1094;5750;5749.7;1.0000521766353028
1095;5800;5800.5;0.9999138005344367
1096;5660;5668.2;0.998553332627642
1097;5740;5740.3;0.999947737923105
1098;5760;5811.85;0.9910785722274318
1099;5410;5411.0;0.9998151912770282
110;5870;5869.8;1.0000340727111656
1100;4980;4979.4;1.000120496445355
1101;5140;5141.8;0.9996499280407639
1102;5820;5820.75;0.9998711506249195
