fazenda;index;fb.pre_inicial;fb.inicial_1;fb.inicial_2;fb.crescimento;fb.abate;fb.total;fb.tot_ajustado;fator.fb;gmd;iep;mortalidade;mort_inicial;vazio;classificacao;peso_medio;idade;caaj
1000;510;270;830;1030;1750;1810;5700;5640;1;72;380;7,4;1,1;16;3;3,408;47;1,72
1001;496;240;780;1170;1730;1670;5590;5650;1,01;70;370;6,2;0,9;17;4;3,258;46;1,771
1002;576;250;790;1180;1740;1590;5540;5600;1;70;370;6,7;0,9;17;4;3,233;46;1,804
1003;137;290;900;1040;1570;2030;5840;5900;1,05;70;370;8,3;0,8;18;2;3,254;46;1,741
1004;137;290;920;930;1850;1910;5900;5900;1,05;71;380;7,4;0,9;18;2;3,294;46,5;1,757
1005;360;260;880;1080;1770;1660;5670;5730;1,02;73;400;5,1;0,6;15;4;3,364;46;1,695
1006;248;260;880;880;1720;2120;5860;5800;1,03;68;360;5;1;16;4;3,19;47;1,784
1007;22;280;890;1040;1780;2080;6070;6140;1,09;72;380;6,8;0,7;17;3;3,279;46;1,725
1008;960;270;940;1050;1400;1710;5370;5310;0,94;69;370;6,7;0,8;17;3;3,237;47;1,764
1009;308;280;920;1440;1450;1740;5820;5760;1,02;67;350;7,3;0,7;17;3;3,136;47;1,82
101;49;280;1000;1020;1960;1990;6250;6050;1,08;70;360;6,8;0,9;16;3;3,321;48;1,792
1010;530;260;880;1040;1670;1720;5570;5630;1;72;390;6,8;0,8;17;2;3,322;46;1,717
1011;866;260;870;880;1560;1890;5450;5390;0,96;71;400;5,1;0,8;16;4;3,319;47;1,694
1012;821;290;840;1050;1590;1600;5370;5430;0,97;70;350;10,7;1,5;17;4;3,18;46;1,798
1013;550;290;840;1050;1520;1850;5560;5620;1;71;350;9,8;1,5;17;4;3,238;46;1,779
1014;37;280;850;970;1620;2290;6010;6080;1,08;70;370;6,2;0,6;17;3;3,232;46;1,759
1015;376;270;870;950;1820;1760;5660;5720;1,02;71;400;5,7;0,6;17;2;3,334;46;1,7
1016;895;260;820;1140;1480;1600;5300;5360;0,95;70;380;5,6;0,8;16;3;3,183;46;1,74
1017;687;270;850;1270;1480;1590;5470;5530;0,98;70;380;6,8;1,6;16;3;3,258;46;1,712
1018;171;270;880;1020;1890;1760;5810;5870;1,04;75;410;5,6;0,8;17;3;3,39;46;1,698
1019;297;270;890;920;1850;1790;5710;5770;1,03;70;370;7,1;0,8;17;4;3,255;46;1,751
102;360;260;920;1120;1590;1910;5790;5730;1,02;72;370;8,3;0,8;16;3;3,431;47;1,768
1020;655;240;950;1080;1780;1440;5490;5550;0,99;69;370;5,4;0,7;16;3;3,18;46;1,771
1021;785;270;750;1110;1520;1750;5400;5460;0,97;71;360;7,4;0,8;17;3;3,179;46;1,801
