aviario;fb.pre_inicial;fb.inicial_1;fb.inicial_2;fb.crescimento;fb.abate;cap_silo;tipo_aviario;global;mort_inicial;cama;gmd;iep;mortalidade;salmonella;densidade;caaj;a01;a02;a03;a08;a09;a10;a11;c07;c08;d01;d02;d03;d04_bin;d05_bin;f15;h01;h02;i02;i03;i04;i05;i06;i07;i08;i09;i10;i11;x01;i01;f01;f02;f03;f04;f05;f06;c05;c06;c12;y03;y04;class_av;peso.7d;mult.7d;peso.14d;mult.14d;peso.21d;mult.21d;peso.28d;mult.28d;peso.35d;mult.35d;peso.42d;mult.42d
938;240;830;1030;1460;2110;36000;2;1;0,67;6;71,3;398;6,29;0,307692308;14;1,751;1;0;1;0;1;1;0;0;1;1;0;0;0;1;5;0;0;0;1;0;0;0;0;1;1;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;5;0,2;4,47;0,51;11,385;0,99;21,78;1,6;35,56;2,295;51;3;67,11
1284;240;840;1040;1700;2210;36000;3;0;1,02;9;72,6;379;8,33;0,307692308;14;1,699;1;0;0;0;1;1;0;0;0;1;0;1;0;0;5;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;5;0,1905;4,09;0,471;10,71;0,938;21,32;1,5745;34,935;2,3375;50,06;3,0965;66,79
101;270;990;1020;2050;2080;32000;2;0;0,86;23;71,4;373;6,95;0,727272727;13;1,795;1;0;1;1;0;1;0;0;0;1;0;0;0;0;6;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;3;0,192;4,2;0,497;10,78;0,95;21,04;1,51;33,94;2,27;51,7;3,01;67,14
829;240;930;990;1990;1580;40000;2;0;1,05;7;69,2;373;6,32;0,692307692;14;1,753;1;0;1;1;0;1;0;0;0;1;0;0;0;1;4;0;1;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;4;0,1875;4,09;0,495;11,4;0,993;21,59;1,598;35,17;2,3;50,53;2,95;64,87
637;270;690;1370;2100;1880;28000;1;0;1,4;16;70,2;359;10,38;0,538461538;12;1,763;0;1;0;1;0;0;0;0;0;1;0;1;0;0;5;0;0;0;0;0;0;0;0;0;0;1;0;1;1;1;0;0;0;0;1;0;0;0;0;0;1;0,204;4,43;0,525;11,59;1,058;22,51;1,725;37,5;2,49;53,19;3,27;70,64
262;250;930;1200;1610;1770;36000;2;0;1,13;21;71,6;396;5,91;0,384615385;13;1,725;1;0;0;1;0;0;1;0;1;1;0;1;0;0;5;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;3;0,1845;4,33;0,4715;10,815;0,96;21,895;1,591;36,88;2,246;51,05;3,023;67,34
102;250;950;1080;1630;1950;30000;2;0;0,7;12;72,3;358;10,62;0,692307692;13;1,825;1;0;1;0;1;1;0;1;0;1;0;1;1;0;5;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;3;0,193;4,2;0,519;11,4;1,0175;22,305;1,645;36,2;2,313;53,66;3,0025;66,49
1211;240;950;1160;1600;2100;36000;3;1;0,83;6;73,4;383;7,77;0,538461538;12;1,715;1;0;0;0;1;1;0;0;1;0;1;0;0;1;5;0;0;0;1;0;0;0;0;1;1;1;0;0;1;1;0;0;0;0;1;0;0;1;0;0;5;0,2;4,51;0,5165;11,775;1,051;24,435;1,728;39,64;2,4875;56,5;3,239;75,14
1000;250;840;1210;1650;1890;34000;2;0;1,085;7,5;72,1;375,5;7,495;0,428571429;13;1,76;1;0;1;0;1;1;0;0;0;1;0;0;1;0;5;1;0;0;0;0;1;0;0;0;1;0;0;1;1;1;0;0;0;0;0;0;1;0;0;1;3;0,1975;4,395;0,518;11,235;1,03;21,77;1,6475;35,26;2,33;50,22;3,045;66,67
1017;250;870;1300;1470;1610;36000;2;0;1,65;21;70,5;377;8,11;0,538461538;13;1,724;1;0;0;1;0;1;0;0;0;1;0;1;0;0;5;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;3;0,187;4,095;0,476;10,27;0,935;20,835;1,533;35,54;2,229;50,21;2,896;64,53
103;260;1010;1020;1880;2460;33000;2;0;1,26;14;74,3;398;6,62;0,538461538;13;1,713;1;0;0;1;0;1;0;0;0;0;1;0;0;0;6;1;0;0;0;0;1;0;0;0;0;0;1;0;1;1;0;0;0;0;1;0;0;0;0;0;3;0,1975;4,315;0,52;11,245;1,015;22,455;1,6725;36,725;2,46;53,075;3,12;67,02
137;250;940;1020;1640;1850;32000;2;0;1,2;21;73,6;396;6,18;0,153846154;13;1,717;1;0;0;1;0;0;1;1;0;1;0;1;0;0;5;0;0;0;0;0;1;0;0;0;0;0;1;0;1;1;0;0;0;0;1;0;0;0;0;0;3;0,201;4,28;0,4965;10,72;0,9855;20,975;1,606;34,18;2,28;49,13;3,005;64,12
1281;250;860;1070;1720;2100;36000;3;0;0,68;9;74,4;378;10,14;0,384615385;14;1,699;1;0;0;0;1;1;0;0;0;1;0;1;0;0;5;0;0;0;1;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;1;0;1;0;0;0;5;0,196;4,3;0,497;10,69;0,983;21,63;1,66;35,04;2,395;50,96;3,1105;65,96
104;270;980;1010;1700;1830;31000;2;0;0,91;23;69;374;6,33;0,307692308;13;1,716;1;0;1;0;1;0;1;0;0;1;0;0;0;1;6;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;3;0,171;3,845;0,4755;10,635;0,99;21,81;1,602;34,83;2,375;52,17;3,0575;68,445
749;260;900;1110;1660;2130;16500;1;0;0,78;27;73;382;5,92;0;13;1,778;0;1;1;1;0;1;0;0;0;0;1;0;0;0;5;0;0;0;0;0;0;1;0;0;1;0;1;1;1;1;0;0;0;0;1;0;0;0;0;0;2;0,181;4,22;0,4895;10,865;0,948;23,44;1,6245;38,765;2,387;56,11;2,978;69,95
636;270;690;1280;1820;2090;24000;1;0;1,27;16;68,9;348;7,88;0,692307692;12;1,796;0;1;0;1;0;0;0;0;0;1;0;1;0;0;5;0;0;0;0;0;0;0;0;0;0;1;0;1;1;1;0;0;0;0;1;0;0;0;0;0;1;0,205;4,47;0,517;11,88;1,083;24,055;1,78;39,67;2,58;56,07;3,3;72,73
105;260;1020;1030;2030;1630;26000;2;0;1,46;22;69,4;360;7,29;0,076923077;13;1,806;1;0;0;0;1;1;0;0;0;0;1;0;0;1;6;0;0;0;0;0;0;0;1;0;0;0;1;0;1;1;0;0;0;0;1;0;0;0;0;0;1;0,201;4,435;0,4875;10,58;0,998;20,83;1,6;35,81;2,262;50,415;2,931;64,95
1210;230;820;1120;1540;2060;36000;3;1;0,93;6;71,7;395;4,18;0,538461538;12;1,704;1;0;0;0;1;1;0;0;1;0;1;0;0;1;5;0;0;0;1;0;0;0;0;1;1;1;0;0;1;1;0;0;0;0;1;0;0;1;0;0;5;0,186;4,485;0,497;12,09;0,999;24,03;1,68;40,33;2,438;57,69;3,248;77,8
1282;250;860;1150;1690;2180;36000;3;0;0,88;9;74,2;393;9,2;0,230769231;14;1,706;1;0;0;0;1;1;0;0;0;1;0;1;0;0;5;0;0;0;1;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;1;0;0;0;0;0;5;0,197;4,19;0,491;10,9;0,995;20,98;1,605;34,29;2,334;49,79;3,0895;65,76
107;280;870;880;1740;2230;24000;1;1;1,235;17,5;74,75;407;5,4;0;11;1,7055;0;1;1;1;0;1;0;0;1;0;1;0;1;0;5;1;0;0;0;0;1;0;0;1;1;0;1;1;1;0;1;0;0;0;0;0;0;0;0;0;3;0,183;4,165;0,503;11,33;1,004;23,16;1,6475;38,355;2,359;54,18;3,092;70,52
283;240;910;1140;1540;1790;32000;1;0;0,96;7;73,3;380;6,76;0,769230769;14;1,719;1;0;1;1;0;1;0;0;1;1;0;0;0;1;4;0;1;0;0;1;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;4;0,1905;4,22;0,506;11,49;1;22,5;1,6265;36,145;2,339;51,95;3,055;70,21
1001;240;890;1200;1780;1770;36000;2;1;0,9;9;72,8;382;6,36;0,307692308;13;1,771;1;0;1;0;1;1;0;0;1;0;1;0;1;0;5;1;0;0;0;1;0;0;0;1;1;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;4;0,198;4,4;0,515;11,44;1,004;22,31;1,614;36,29;2,3175;50,85;3,02;67,51
1212;230;820;1150;1550;2170;36000;3;1;0,81;6;72;379;5,37;0,153846154;13;1,708;1;0;0;0;1;1;0;0;1;0;1;0;0;1;5;0;0;0;1;0;0;0;0;1;1;0;0;0;1;1;0;0;0;0;1;0;0;1;0;0;5;0,183;4,27;0,4915;11,965;0,976;23,45;1,674;39,26;2,4345;59,15;3,207;76,72
108;270;970;1000;2060;1750;31000;2;0;0,96;18;69,6;346;5,47;0,538461538;13;1,763;1;0;1;1;0;0;1;0;0;0;1;0;0;1;5;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;3;0,203;4,36;0,524;11,57;1,01;23,07;1,6225;36,155;2,324;53,305;3,01;66,82
