aviario,fb.pre_inicial_ajustado,fb.inicial_1_ajustado,fb.inicial_2_ajustado,fb.crescimento_ajustado,fb.abate_ajustado
938,240.0,830.0,1030.0,1460.0,2110.0
1284,240.0,840.0,1040.0,1700.0,2210.0
101,270.0,990.0,1020.0,2050.0,2080.0
829,240.0,930.0,990.0,1990.0,1580.0
637,270.0,690.0,1370.0,2100.0,1880.0
262,250.0,930.0,1200.0,1610.0,1770.0
102,250.0,950.0,1080.0,1630.0,1950.0
1211,240.0,950.0,1160.0,1600.0,2100.0
1000,250.0,840.0,1210.0,1650.0,1890.0
1017,250.0,870.0,1300.0,1470.0,1610.0
103,260.0,1010.0,1020.0,1880.0,2460.0
137,250.0,940.0,1020.0,1640.0,1850.0
1281,250.0,860.0,1070.0,1720.0,2100.0
104,270.0,980.0,1010.0,1700.0,1830.0
749,260.0,900.0,1110.0,1660.0,2130.0
636,270.0,690.0,1280.0,1820.0,2090.0
105,260.0,1020.0,1030.0,2030.0,1630.0
1210,230.0,820.0,1120.0,1540.0,2060.0
1282,250.0,860.0,1150.0,1690.0,2180.0
107,280.0,870.0,880.0,1740.0,2230.0
283,240.0,910.0,1140.0,1540.0,1790.0
1001,240.0,890.0,1200.0,1780.0,1770.0
1212,230.0,820.0,1150.0,1550.0,2170.0
108,270.0,970.0,1000.0,2060.0,1750.0
1159,240.0,850.0,1140.0,1720.0,1560.0
1292,240.0,860.0,1150.0,1730.0,1540.0
110,260.0,820.0,1090.0,1740.0,1880.0
1283,250.0,880.0,1110.0,1790.0,1950.0
1253,240.0,850.0,1140.0,1690.0,1820.0
940,260.0,940.0,1290.0,1780.0,2140.0
111,260.0,830.0,1120.0,1680.0,2030.0
549,250.0,860.0,1270.0,1730.0,2090.0
588,260.0,870.0,1420.0,1720.0,1330.0
112,240.0,770.0,1090.0,1470.0,1860.0
143,250.0,950.0,970.0,1930.0,1880.0
1002,240.0,860.0,1180.0,1740.0,1740.0
942,240.0,860.0,1120.0,1590.0,2200.0
113,260.0,850.0,1010.0,1520.0,1780.0
642,260.0,850.0,1000.0,1510.0,2060.0
411,270.0,890.0,1250.0,1770.0,2020.0
114,280.0,1010.0,1010.0,1690.0,2040.0
1033,250.0,920.0,1230.0,1740.0,1960.0
1003,280.0,940.0,1160.0,1800.0,2020.0
814,250.0,820.0,1090.0,1630.0,1920.0
115,250.0,830.0,1170.0,1630.0,2040.0
438,270.0,1040.0,1050.0,1910.0,1900.0
941,240.0,900.0,1020.0,1750.0,2170.0
160,240.0,970.0,1130.0,1620.0,1810.0
906,250.0,820.0,1080.0,1630.0,1910.0
117,240.0,870.0,880.0,1750.0,1420.0
1032,250.0,910.0,1210.0,1530.0,2030.0
155,270.0,990.0,1070.0,1940.0,1830.0
118,280.0,940.0,950.0,1670.0,2160.0
990,250.0,870.0,880.0,1750.0,2020.0
1004,280.0,950.0,1130.0,1900.0,2020.0
381,250.0,810.0,1080.0,1880.0,2180.0
120,250.0,860.0,970.0,1680.0,1560.0
760,270.0,860.0,860.0,1620.0,2310.0
992,240.0,870.0,920.0,1750.0,2120.0
121,270.0,920.0,1050.0,1650.0,2010.0
889,240.0,940.0,1170.0,1820.0,2070.0
415,280.0,870.0,1150.0,1760.0,2050.0
784,270.0,860.0,870.0,1730.0,2430.0
122,260.0,860.0,1000.0,1520.0,2060.0
1190,240.0,770.0,1090.0,1630.0,1750.0
154,240.0,770.0,1270.0,1680.0,2070.0
123,260.0,1020.0,1040.0,1640.0,1940.0
700,260.0,840.0,1000.0,1510.0,2090.0
1005,250.0,880.0,1070.0,1760.0,1680.0
991,250.0,860.0,1100.0,1440.0,2000.0
124,250.0,970.0,990.0,1810.0,1790.0
459,250.0,820.0,1090.0,1510.0,2070.0
1038,250.0,880.0,1040.0,1730.0,1910.0
125,280.0,890.0,990.0,1630.0,1390.0
607,240.0,770.0,1160.0,1930.0,1910.0
1276,250.0,870.0,1160.0,1760.0,1870.0
987,250.0,910.0,1120.0,1800.0,1710.0
126,280.0,910.0,1080.0,1620.0,1720.0
572,250.0,980.0,980.0,1720.0,1980.0
1075,260.0,890.0,890.0,1770.0,1930.0
127,230.0,1070.0,1290.0,1710.0,1290.0
