aviario,fb.pre_inicial,fb.inicial_1,fb.inicial_2,fb.crescimento,fb.abate,cap_silo,tipo_aviario,global,mort_inicial,cama,gmd,iep,mortalidade,salmonella,densidade,caaj,a01,a02,a03,a08,a09,a10,a11,c07,c08,d01,d02,d03,d04_bin,d05_bin,f15,h01,h02,i02,i03,i04,i05,i06,i07,i08,i09,i10,i11,x01,i01,f01,f02,f03,f04,f05,f06,c05,c06,c12,y03,y04,class_av,peso.7d,mult.7d,peso.14d,mult.14d,peso.21d,mult.21d,peso.28d,mult.28d,peso.35d,mult.35d,peso.42d,mult.42d,coef_correcao,fb.pre_inicial_ajustado,fb.inicial_1_ajustado,fb.inicial_2_ajustado,fb.crescimento_ajustado,fb.abate_ajustado
938,240,-0.8077569894203069,-0.3136437288785678,-1.0180884951646443,0.991500329575771,0.5445216054528571,2,1,"0,67",6,71.3,398.0,6.29,"0,307692308",14,1.751,1,0,1,0,1,1,0,0,1,1,0,0,0,1,5,0,0,0,1,0,0,0,0,1,1,0.0,0.0,0,1,0,1,0,0,1,0,0.0,0,0,0,0,5,0.7132534989418872,0.8509463970551991,0.7132534989418872,0.8509463970551991,0.7132534989418872,0.8509463970551991,0.7132534989418872,0.8509463970551991,0.7132534989418872,0.8509463970551991,0.7132534989418872,0.8509463970551991,0.9472361809045227,227.33668341708545,-0.7651366457574265,-0.2970946879075881,-0.9643702579825902,0.9391849855529288
1284,240,-0.6869183943849767,-0.2194045695852816,0.3524112441080198,1.4323546833146734,0.5445216054528571,3,0,"1,02",9,72.6,379.0,8.33,"0,307692308",14,1.699,1,0,0,0,1,1,0,0,0,1,0,1,0,0,5,0,0,0,1,0,0,0,0,0,0,0.0,0.0,1,1,0,0,0,0,0,1,0.0,0,0,0,0,5,-0.31342762526016654,-1.1566119100640275,-0.31342762526016654,-1.1566119100640275,-0.31342762526016654,-1.1566119100640275,-0.31342762526016654,-1.1566119100640275,-0.31342762526016654,-1.1566119100640275,-0.31342762526016654,-1.1566119100640275,0.9947229551451188,238.73350923482852,-0.6832934952061642,-0.21824676183021416,0.3505515541654973,1.4247960834027227
101,270,1.1256605311449772,-0.40788288817185403,2.351056697213988,0.8592440234541002,-0.34249654977123434,2,0,"0,86",23,71.4,373.0,6.95,"0,727272727",13,1.795,1,0,1,1,0,1,0,0,0,1,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0,1,0,0,0,0,0,1,0.0,0,0,0,0,3,-0.1513200793335265,-0.575476610634776,-0.1513200793335265,-0.575476610634776,-0.1513200793335265,-0.575476610634776,-0.1513200793335265,-0.575476610634776,-0.1513200793335265,-0.575476610634776,-0.1513200793335265,-0.575476610634776,1.0107238605898123,272.89544235924933,1.13773195775243,-0.412256967401579,2.3762691014736554,0.8684584365742515
829,240,0.40062896093299566,-0.6906003660517126,2.0084317623958223,-1.3450277452404125,1.4315397606769484,2,0,"1,05",7,69.2,373.0,6.32,"0,692307692",14,1.753,1,0,1,1,0,1,0,0,0,1,0,0,0,1,4,0,1,0,0,1,0,0,0,0,0,0.0,0.0,1,1,0,0,0,0,0,0,0.0,0,0,0,0,4,-0.6376427171134467,-1.1566119100640275,-0.6376427171134467,-1.1566119100640275,-0.6376427171134467,-1.1566119100640275,-0.6376427171134467,-1.1566119100640275,-0.6376427171134467,-1.1566119100640275,-0.6376427171134467,-1.1566119100640275,1.0107238605898123,242.57372654155495,0.4049252500582825,-0.6980062681005246,2.029969904619906,-1.3594516352698003
637,270,-2.499497319914931,2.890487687093163,2.6365774762291267,-0.022464684023704905,-1.2295147049953257,1,0,"1,4",16,70.2,359.0,10.38,"0,538461538",12,1.763,0,1,0,1,0,0,0,0,0,1,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,1.0,0.0,1,1,1,0,0,0,0,1,0.0,0,0,0,0,1,1.145540288079591,0.6396244699900171,1.145540288079591,0.6396244699900171,1.145540288079591,0.6396244699900171,1.145540288079591,0.6396244699900171,1.145540288079591,0.6396244699900171,1.145540288079591,0.6396244699900171,1.0501392757660166,283.5376044568245,-2.624820305314565,3.0354146463346026,2.768773561388247,-0.023591047010965874
262,250,0.40062896093299566,1.2884219791072977,-0.16152615811922924,-0.5074044731364977,0.5445216054528571,2,0,"1,13",21,71.6,396.0,5.91,"0,384615385",13,1.725,1,0,0,1,0,0,1,0,1,1,0,1,0,0,5,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0,1,1,0,0,0,0,1,0.0,0,0,0,0,3,-0.9618578089667268,0.11131965232706445,-0.9618578089667268,0.11131965232706445,-0.9618578089667268,0.11131965232706445,-0.9618578089667268,0.11131965232706445,-0.9618578089667268,0.11131965232706445,-0.9618578089667268,0.11131965232706445,0.952020202020202,238.0050505050505,0.38140686432257415,1.226603752836998,-0.1537761656842157,-0.48305930902136274
102,250,0.6423061510036562,0.15755206758786322,-0.04731784651317389,0.28613336359352687,-0.7860056273832801,2,0,"0,7",12,72.3,358.0,10.62,"0,692307692",13,1.825,1,0,1,0,1,1,0,1,0,1,0,1,1,0,5,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0,1,1,0,0,0,0,1,0.0,0,0,0,0,3,-0.043248382049099796,-0.575476610634776,-0.043248382049099796,-0.575476610634776,-0.043248382049099796,-0.575476610634776,-0.043248382049099796,-0.575476610634776,-0.043248382049099796,-0.575476610634776,-0.043248382049099796,-0.575476610634776,1.053072625698324,263.26815642458104,0.6763950249396045,0.16591376949895092,-0.049829128870018315,0.3013192124993286
1211,240,0.6423061510036562,0.9114653419341529,-0.2186303139222569,0.9474148942018807,0.5445216054528571,3,1,"0,83",6,73.4,383.0,7.77,"0,538461538",12,1.715,1,0,0,0,1,1,0,0,1,0,1,0,0,1,5,0,0,0,1,0,0,0,0,1,1,1.0,0.0,0,1,1,0,0,0,0,1,0.0,0,1,0,0,5,0.7132534989418872,1.0622683241203812,0.7132534989418872,1.0622683241203812,0.7132534989418872,1.0622683241203812,0.7132534989418872,1.0622683241203812,0.7132534989418872,1.0622683241203812,0.7132534989418872,1.0622683241203812,0.9843342036553525,236.2402088772846,0.6322439136511185,0.897186511512208,-0.21520529594958449,0.9325728854154284
1000,250,-0.6869183943849767,1.3826611384005838,0.06689046509288145,0.02162075135018535,0.10101252784081136,2,0,"1,085","7,5",72.1,375.5,7.495,"0,428571429",13,1.76,1,0,1,0,1,1,0,0,0,1,0,0,1,0,5,1,0,0,0,0,1,0,0,0,1,0.0,0.0,1,1,1,0,0,0,0,0,0.0,1,0,0,1,3,0.4430742557308204,0.4547177838079823,0.4430742557308204,0.4547177838079823,0.4430742557308204,0.4547177838079823,0.4430742557308204,0.4547177838079823,0.4430742557308204,0.4547177838079823,0.4430742557308204,0.4547177838079823,1.003994673768309,250.99866844207725,-0.6896624092759953,1.388184418580613,0.06715767067913797,0.021707119198455065
1017,250,-0.32440260927898595,2.2308135720401596,-0.9609843393616166,-1.2127714391187419,0.5445216054528571,2,0,"1,65",21,70.5,377.0,8.11,"0,538461538",13,1.724,1,0,0,1,0,1,0,0,0,1,0,1,0,0,5,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0,1,1,0,0,0,0,1,0.0,0,0,0,0,3,-0.69167856575566,-1.1301966691808805,-0.69167856575566,-1.1301966691808805,-0.69167856575566,-1.1301966691808805,-0.69167856575566,-1.1301966691808805,-0.69167856575566,-1.1301966691808805,-0.69167856575566,-1.1301966691808805,1.0,250.0,-0.32440260927898595,2.2308135720401596,-0.9609843393616166,-1.2127714391187419
